feature,importance
avg_daily_spend_15d,0.21176470588235172
spend_last_15d,0.20516596534649878
days_since_last_activity,0.11963273700339765
clicks_last_15d,0.11764705882352897
spend_change_ratio,0.11435944290763973
avg_cpc,0.07655853472209294
total_active_days,0.07292858246572356
total_spend,0.04736053283442112
spend_prev_15d,0.034582440014343595
num_product_types,1.0476589892456462e-15
region_encoded,4.2462856034570313e-16
total_campaigns,3.8564376819015715e-16
segment_encoded,1.4732059898659222e-16
